time,wind_speed,outdoor_temp,vane_position,rotor_speed_rpm,pitch_angle,turbine_altitude,blade_length,swept_area,wind_power,,,,,,,,
1/2/2015 14:00,7.5999999,3.21,-1.63,17.17,-0.99000001,96,40,5024,0.542532173,,,,,,,,
1/2/2015 14:30,7.3800001,3.28,1.65,17.09,-0.99000001,96,40,5024,0.496768261, ,,,,,,,
1/2/2015 22:00,4.5,4.21,2.0999999,9.7700005,-0.99000001,96,40,5024,0.112621752,,,,,,,,
1/3/2015 15:20,14.58,9.5299997,3.1800001,17.18,7.3699999,96,40,5024,3.830516256,,,,,,,,
1/3/2015 18:40,14.21,10.02,-5.9699998,17.17,4.8000002,96,40,5024,3.546230589,,,,,,,,
1/3/2015 19:40,12.83,9.8000002,-4.77,17.139999,1.98,96,40,5024,2.610145438,,,,,,,,
1/3/2015 20:50,12.65,9.6000004,-6.4899998,17.15,2.22,96,40,5024,2.501821465,,,,,,,,
1/4/2015 12:40,3,5.3499999,-17.52,0.99000001,45,96,40,5024,0.033369408,,,,,,,,
1/4/2015 14:00,0,5.8600001,17.469999,0.039999999,45,96,40,5024,0,,,,,,,,
1/4/2015 14:20,1.85,5.5100002,20.700001,0.76999998,45,96,40,5024,0.007825281,,,,,,,,
1/4/2015 15:50,1.4400001,3.46,26.190001,0.94999999,45,96,40,5024,0.00369039,,,,,,,,
1/4/2015 18:20,2.5599999,2.52,26.33,1.0700001,45,96,40,5024,0.020735026,,,,,,,,
1/5/2015 12:00,0.56999999,6.0500002,-11.73,0.28,45,96,40,5024,0.000228881,,,,,,,,
1/5/2015 18:20,4.5,4.0799999,0.51999998,10.12,-0.99000001,96,40,5024,0.112621752,,,,,,,,
1/5/2015 20:20,4.9400001,4.5599999,-2.77,10.73,-0.99000001,96,40,5024,0.148992913,,,,,,,,
1/6/2015 11:50,5.1900001,6.0599999,-22.299999,9.71,-0.88,96,40,5024,0.172777361,,,,,,,,
1/6/2015 21:30,9.9700003,1.92,0.80000001,17.17,-0.93000001,96,40,5024,1.224814311,,,,,,,,
1/7/2015 8:40,2.3399999,1.2,-104.4,0,45,96,40,5024,0.015835517,,,,,,,,
1/7/2015 10:00,1.9299999,2.6700001,11.09,0.99000001,45,96,40,5024,0.008884983,,,,,,,,
1/7/2015 15:40,2.96,3.1199999,31.09,1.14,45,96,40,5024,0.03205235,,,,,,,,
1/7/2015 16:10,3.3199999,2.6900001,-4.4000001,1.4400001,45,96,40,5024,0.045227122,,,,,,,,
1/7/2015 17:40,4.77,2.45,-0.64999998,10.56,-0.99000001,96,40,5024,0.134134309,,,,,,,,
1/7/2015 21:20,6.8400002,4.4000001,4.8099999,15.64,-0.99000001,96,40,5024,0.395506004,,,,,,,,
1/7/2015 23:20,7.25,4.96,0,16.07,-0.99000001,96,40,5024,0.470975979,,,,,,,,
1/8/2015 11:30,11.01,8.1999998,-2.6199999,17.15,0.40000001,96,40,5024,1.649478635,,,,,,,,
1/8/2015 12:20,10.98,8.1000004,-2.51,17.15,-0.02,96,40,5024,1.636031865,,,,,,,,
1/8/2015 13:40,13,7.5999999,-6.6399999,17.139999,1.61,96,40,5024,2.715281088,,,,,,,,
1/8/2015 20:10,7.5500002,7.04,-1.46,16.610001,-0.99000001,96,40,5024,0.531894656,,,,,,,,
1/8/2015 20:50,8.6300001,7,-8.1099997,17.110001,-0.99000001,96,40,5024,0.794359585,,,,,,,,
1/9/2015 11:00,9.6000004,6.9899998,-0.97000003,17.139999,-0.80000001,96,40,5024,1.093448898,,,,,,,,
1/9/2015 13:10,12.18,8.1499996,-0.77999997,17.139999,1.1799999,96,40,5024,2.233194773,,,,,,,,
1/10/2015 15:10,13.39,9.8000002,-1.38,17.17,4.1199999,96,40,5024,2.967060957,,,,,,,,
1/10/2015 16:30,13.39,9.8800001,1.1799999,17.16,4.9000001,96,40,5024,2.967060957,,,,,,,,
1/11/2015 1:30,7.0700002,3.3299999,-2.9100001,16.059999,-0.99000001,96,40,5024,0.43676016,,,,,,,,
1/11/2015 4:00,7.3299999,3.76,-1.17,16.799999,-0.99000001,96,40,5024,0.486739559,,,,,,,,
1/11/2015 10:20,10.16,3.7,-4.2800002,17.1,-0.63,96,40,5024,1.296181629,,,,,,,,
1/11/2015 16:20,8.3000002,3.8800001,-2.5999999,17.16,-0.99000001,96,40,5024,0.706673892,,,,,,,,
1/11/2015 17:10,9.6099997,3.6900001,-1.88,17.18,-0.98000002,96,40,5024,1.096869247,,,,,,,,
1/11/2015 22:20,7.9200001,2.96,0.81999999,17.01,-0.99000001,96,40,5024,0.613988588,,,,,,,,
1/12/2015 2:50,10.83,3.2,-3.6900001,17.139999,-0.31999999,96,40,5024,1.569893198,,,,,,,,
1/12/2015 18:20,8.0900002,5.8499999,7.21,17.15,-0.99000001,96,40,5024,0.654380478,,,,,,,,
1/13/2015 0:30,11.77,6.77,-3,17.139999,0.46000001,96,40,5024,2.015181309,,,,,,,,
1/13/2015 1:10,12.45,7.25,5.0700002,17.16,3.6900001,96,40,5024,2.385024212,,,,,,,,
1/13/2015 1:50,10.43,6.46,-4.9400001,17.16,-0.72000003,96,40,5024,1.402289439,,,,,,,,
1/13/2015 7:50,9.6999998,7.4000001,6.8000002,17.16,-0.81,96,40,5024,1.127976142,,,,,,,,
1/13/2015 13:30,6.6799998,10.71,-0.94,14.87,-0.99000001,96,40,5024,0.368395305,,,,,,,,
1/13/2015 14:20,8.4300003,10.19,-2.45,16.83,-0.99000001,96,40,5024,0.740401872,,,,,,,,
1/13/2015 16:10,8.6999998,10.06,7.3000002,17.15,-0.99000001,96,40,5024,0.813846436,,,,,,,,
1/13/2015 18:00,10.01,8.2600002,-0.66000003,17.17,-0.57999998,96,40,5024,1.239615421,,,,,,,,
1/13/2015 20:30,8.4799995,6.7399998,-0.50999999,16.58,-0.97000003,96,40,5024,0.753654363,,,,,,,,
1/13/2015 21:10,11.08,7.5,2.27,17.08,0.039999999,96,40,5024,1.681140532,,,,,,,,
1/13/2015 21:30,9.1099997,7.5,5.1599998,16.860001,-0.69,96,40,5024,0.934415052,,,,,,,,
1/13/2015 22:10,11.47,6.1599998,3.97,17.139999,0.75,96,40,5024,1.86498349,,,,,,,,
1/14/2015 6:30,10.25,4.6300001,4.52,17.17,-0.28999999,96,40,5024,1.330933431,,,,,,,,
1/14/2015 11:20,10.78,3.4400001,3.4000001,17.15,0.050000001,96,40,5024,1.548249757,,,,,,,,
1/14/2015 15:50,7.4699998,4.1500001,-7.7399998,16.280001,-0.99000001,96,40,5024,0.515165188,,,,,,,,
1/15/2015 8:50,9.9700003,6.7800002,-0.16,17.15,-0.69999999,96,40,5024,1.224814311,,,,,,,,
1/15/2015 21:50,10.22,6.8000002,4.1799998,17.09,-0.51999998,96,40,5024,1.319281357,,,,,,,,
1/15/2015 22:50,6.8499999,6.2399998,10.19,15,-0.99000001,96,40,5024,0.397243165,,,,,,,,
1/16/2015 0:20,7.3699999,5.4299998,-4.2600002,15.24,-0.99000001,96,40,5024,0.494751573,,,,,,,,
1/16/2015 2:40,4.98,4.4899998,17.34,10.1,-0.99000001,96,40,5024,0.15264155,,,,,,,,
1/16/2015 5:00,3.46,3.0899999,65.269997,0.07,86.160004,96,40,5024,0.051193289,,,,,,,,
1/16/2015 20:00,5.3400002,2.95,2.3099999,11.55,-0.99000001,96,40,5024,0.188195207,,,,,,,,
1/17/2015 0:20,5.6399999,2.9100001,-0.40000001,12.55,-0.99000001,96,40,5024,0.221728759,,,,,,,,
1/17/2015 1:20,5.8000002,3.55,6.1300001,12.39,-0.99000001,96,40,5024,0.241139726,,,,,,,,
1/17/2015 10:50,5.04,2.55,10.44,10.77,-0.99000001,96,40,5024,0.158225453,,,,,,,,
1/17/2015 20:30,6.3899999,1.47,-6.0999999,14.35,-0.99000001,96,40,5024,0.322468496,,,,,,,,
1/17/2015 21:10,6.0700002,1.6,-4.27,13.74,-0.99000001,96,40,5024,0.276408156,,,,,,,,
1/17/2015 22:10,6.6700001,1.49,0.37,14.63,-0.99000001,96,40,5024,0.36674336,,,,,,,,
1/18/2015 8:30,5.0999999,1.2,-15.85,9.7399998,-0.99000001,96,40,5024,0.163943892,,,,,,,,
1/18/2015 17:50,5.7399998,0.94999999,-8.5200005,12.53,-0.99000001,96,40,5024,0.233733181,,,,,,,,
1/18/2015 22:50,4.21,0.75999999,9.5699997,9.5600004,-0.99000001,96,40,5024,0.092221254,,,,,,,,
1/18/2015 23:50,4.8600001,0.40000001,19.4,10.2,-0.99000001,96,40,5024,0.141870981,,,,,,,,
1/19/2015 6:30,5.8400002,0.56,8.6199999,12.67,-0.99000001,96,40,5024,0.24616331,,,,,,,,
1/19/2015 20:20,4.9899998,0.07,-2.04,9.71,-0.95999998,96,40,5024,0.153562906,,,,,,,,
1/19/2015 21:10,4.5700002,-0.079999998,9.3800001,9.8999996,-0.81999999,96,40,5024,0.117959628,,,,,,,,
